seed,coef_seed,train_seed,direction,frame_idx,true_x,true_y,pred_x,pred_y
0_0,0,0,0_right,92,9.193424,1.4305115e-06,8.293823,0.06274891
0_0,0,0,0_right,93,9.268959,4.7683716e-07,8.432678,0.08165932
0_0,0,0,0_right,94,9.340424,-3.33786e-06,8.5112,0.10877514
0_0,0,0,0_right,95,9.407814,1.4305115e-06,8.597271,0.19594574
0_0,0,0,0_right,96,9.47113,-9.536743e-07,8.702988,0.23373032
0_0,0,0,0_right,97,9.530399,-9.536743e-07,8.760918,0.23808289
0_0,0,0,0_right,98,9.585644,-1.4305115e-06,8.821468,0.2449007
0_0,0,0,0_right,99,9.636902,-1.4305115e-06,8.888367,0.18222237
0_0,0,0,0_right,100,9.684231,4.7683716e-07,8.954807,0.1279335
0_0,0,0,0_right,101,9.727692,-2.3841858e-06,9.004448,0.10035133
0_0,0,0,0_right,102,9.767361,3.33786e-06,9.0605545,0.061100006
0_0,0,0,0_right,103,9.803322,-1.4305115e-06,9.124794,-0.014708519
0_0,0,0,0_right,104,9.835682,-2.861023e-06,9.16922,-0.06459522
0_0,0,0,0_right,105,9.864552,-4.7683716e-07,9.187309,-0.08690643
0_0,0,0,0_right,106,9.890057,-1.9073486e-06,9.193954,-0.065571785
0_0,0,0,0_right,107,9.912342,-1.4305115e-06,9.150497,-0.009759903
0_0,0,0,0_right,108,9.931564,1.4305115e-06,9.10339,0.04996109
0_0,0,0,0_right,109,9.947887,-3.33786e-06,9.091255,0.08573723
0_0,0,0,0_right,110,9.961502,3.33786e-06,9.084007,0.11876297
0_0,0,0,0_right,111,9.972599,4.7683716e-07,9.073692,0.1470232
0_0,0,0,0_right,112,9.9814,-3.33786e-06,9.060787,0.1671648
0_0,0,0,0_right,113,9.988132,-1.4305115e-06,9.0282135,0.16899109
0_0,0,0,0_right,114,9.993042,1.4305115e-06,8.988766,0.16885376
0_0,0,0,0_right,115,9.996391,-2.861023e-06,8.947937,0.15765762
0_0,0,0,0_right,116,9.998459,-2.861023e-06,8.912445,0.14677525
0_0,0,0,0_right,117,9.999538,-1.9073486e-06,8.880352,0.12542915
0_0,0,0,0_right,118,9.999943,-3.33786e-06,8.8502655,0.11957073
0_0,0,0,0_right,119,10.0,-9.536743e-07,8.833298,0.10838795
0_0,0,0,45_fwd_right,0,0.0,0.0,0.0,0.0
0_0,0,0,45_fwd_right,1,4.196167e-05,4.2438507e-05,-0.073028564,0.047246933
0_0,0,0,45_fwd_right,2,0.00032806396,0.00032615662,-0.15773392,0.09782219
0_0,0,0,45_fwd_right,3,0.0010910034,0.0010905266,-0.25368118,0.15738106
0_0,0,0,45_fwd_right,4,0.0025520325,0.0025525093,-0.35781097,0.20712185
0_0,0,0,45_fwd_right,5,0.0049209595,0.004920006,-0.46600342,0.25301266
0_0,0,0,45_fwd_right,6,0.008392334,0.008392811,-0.56547546,0.27331924
0_0,0,0,45_fwd_right,7,0.013153076,0.013151646,-0.6277466,0.2554407
0_0,0,0,45_fwd_right,8,0.019378662,0.019374847,-0.6887741,0.2237835
0_0,0,0,45_fwd_right,9,0.027225494,0.027224064,-0.7237816,0.1926775
0_0,0,0,45_fwd_right,10,0.036849976,0.036849022,-0.7233162,0.17019653
0_0,0,0,45_fwd_right,11,0.04839325,0.04839039,-0.7172241,0.16405582
0_0,0,0,45_fwd_right,12,0.061985016,0.061983585,-0.7259407,0.18071079
0_0,0,0,45_fwd_right,13,0.07774353,0.07774305,-0.72974396,0.19015884
0_0,0,0,45_fwd_right,14,0.09577942,0.095778465,-0.7336426,0.20941734
0_0,0,0,45_fwd_right,15,0.116191864,0.116191864,-0.7489586,0.28243732
0_0,0,0,45_fwd_right,16,0.13907242,0.13907337,-0.7729225,0.33569908
0_0,0,0,45_fwd_right,17,0.164505,0.16450071,-0.77780914,0.41621494
0_0,0,0,45_fwd_right,18,0.19255066,0.19255018,-0.7576752,0.5125475
0_0,0,0,45_fwd_right,19,0.22328186,0.22328329,-0.74326324,0.6102381
0_0,0,0,45_fwd_right,20,0.2567482,0.25674915,-0.7282448,0.68527985
0_0,0,0,45_fwd_right,21,0.29299545,0.29299498,-0.7084274,0.74886894
0_0,0,0,45_fwd_right,22,0.33206177,0.33205938,-0.6889992,0.7815561
0_0,0,0,45_fwd_right,23,0.37397003,0.37396622,-0.7334862,0.8577881
0_0,0,0,45_fwd_right,24,0.41874313,0.41873932,-0.7911606,0.9265299
0_0,0,0,45_fwd_right,25,0.46639252,0.46639013,-0.83366394,0.9294157
0_0,0,0,45_fwd_right,26,0.5169258,0.51692533,-0.8900299,0.94763947
0_0,0,0,45_fwd_right,27,0.5703392,0.57033825,-0.9079132,0.92039585
0_0,0,0,45_fwd_right,28,0.62662125,0.62662077,-0.92448807,0.86130714
0_0,0,0,45_fwd_right,29,0.6857567,0.6857543,-0.932991,0.7755146
0_0,0,0,45_fwd_right,30,0.7477226,0.74771833,-0.9289627,0.6929674
0_0,0,0,45_fwd_right,31,0.81248856,0.8124857,-0.8597908,0.6180725
0_0,0,0,45_fwd_right,32,0.88002014,0.8800187,-0.785408,0.53845024
0_0,0,0,45_fwd_right,33,0.9502716,0.9502678,-0.7546272,0.49968052
0_0,0,0,45_fwd_right,34,1.0231972,1.0231943,-0.7398834,0.4465046
0_0,0,0,45_fwd_right,35,1.0987434,1.0987406,-0.7267151,0.404171
0_0,0,0,45_fwd_right,36,1.1768494,1.1768456,-0.7193146,0.36583042
0_0,0,0,45_fwd_right,37,1.2574501,1.2574506,-0.7068596,0.3844967
0_0,0,0,45_fwd_right,38,1.3404808,1.3404794,-0.6811218,0.42170238
0_0,0,0,45_fwd_right,39,1.4258614,1.4258618,-0.6599426,0.46932793
0_0,0,0,45_fwd_right,40,1.5135193,1.5135145,-0.6498146,0.5171251
0_0,0,0,45_fwd_right,41,1.6033669,1.6033659,-0.64624405,0.57134056
0_0,0,0,45_fwd_right,42,1.6953163,1.6953149,-0.6298561,0.64046764
0_0,0,0,45_fwd_right,43,1.7892799,1.7892771,-0.6167221,0.71914387
0_0,0,0,45_fwd_right,44,1.8851585,1.8851552,-0.6098938,0.8124056
0_0,0,0,45_fwd_right,45,1.9828568,1.9828534,-0.5989189,0.911397
0_0,0,0,45_fwd_right,46,2.0822716,2.0822678,-0.5790596,1.0127125
0_0,0,0,45_fwd_right,47,2.1832962,2.1832933,-0.54764557,1.1377144
0_0,0,0,45_fwd_right,48,2.2858276,2.2858238,-0.5311012,1.2694731
0_0,0,0,45_fwd_right,49,2.3897514,2.3897486,-0.5176239,1.421092
0_0,0,0,45_fwd_right,50,2.4949532,2.4949522,-0.5120468,1.5701656
0_0,0,0,45_fwd_right,51,2.6013222,2.6013198,-0.5034828,1.7171316
0_0,0,0,45_fwd_right,52,2.7087402,2.7087393,-0.48970032,1.8646555
0_0,0,0,45_fwd_right,53,2.8170853,2.8170846,-0.46504593,2.0126562
0_0,0,0,45_fwd_right,54,2.926239,2.926239,-0.44165802,2.1574106
0_0,0,0,45_fwd_right,55,3.0360794,3.0360804,-0.4174614,2.3006792
0_0,0,0,45_fwd_right,56,3.1464844,3.1464827,-0.39741135,2.4409065
0_0,0,0,45_fwd_right,57,3.257328,3.2573256,-0.36896896,2.5735798
0_0,0,0,45_fwd_right,58,3.3684845,3.3684838,-0.32567978,2.6886253
0_0,0,0,45_fwd_right,59,3.4798317,3.4798286,-0.27684784,2.7827444
0_0,0,0,45_fwd_right,60,3.59124,3.5912385,-0.21822357,2.8606663
0_0,0,0,45_fwd_right,61,3.7025833,3.7025814,-0.15307617,2.9335394
0_0,0,0,45_fwd_right,62,3.8137436,3.8137405,-0.05916977,2.9868336
0_0,0,0,45_fwd_right,63,3.9245834,3.9245825,0.036064148,3.0353746
0_0,0,0,45_fwd_right,64,4.0349884,4.034989,0.13401794,3.0633583
0_0,0,0,45_fwd_right,65,4.144829,4.144828,0.23559952,3.0980453
0_0,0,0,45_fwd_right,66,4.2539825,4.2539825,0.35099792,3.129386
0_0,0,0,45_fwd_right,67,4.3623314,4.3623295,0.47410202,3.166955
0_0,0,0,45_fwd_right,68,4.4697456,4.4697433,0.6071739,3.19586
0_0,0,0,45_fwd_right,69,4.5761147,4.5761137,0.7565956,3.219964
0_0,0,0,45_fwd_right,70,4.68132,4.6813173,0.9158287,3.2401247
0_0,0,0,45_fwd_right,71,4.785244,4.7852426,1.0654068,3.263482
0_0,0,0,45_fwd_right,72,4.8877754,4.8877716,1.2022133,3.2879124
